No,Wavelet transform,Period,label,easting,northing,lat,long,Aquifer,Top Soil,Sub Soil,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,test,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std,Corr
3,Multiannual,7,Plucks Gutter,627131,163892,51.328738,1.258886,Carboniferous Limestone,clay,clay,1.574370207,1.501872487,284.5010422,6.701862052,0.00708985,3.94572169,101266.2453,323.2666357,124.3998611,2.24781251,2.545678854,0,49,19,32,1.24000001,47,21,32,1.24000001,90,0.001,47.21059533,139.4297237,1001,0,,2015,2019,5,0.243835616,53,53,20,5,10.6,10.6,4,1.22026534,0.265911786,0.768380546
36,Annual,1,Hurdcott,416690,133770,51.102988,-1.762997,Chalk,loam,,2.155585983,1.471358083,284.1141326,8.146276078,0.006918289,3.574752089,100781.5713,323.6888219,123.6381242,55.37200928,1.81083405,1.899997711,19,37,44,1.409999967,0,0,0,0,550,0.015,9.082651174,414.8000814,51,0,,2015,2019,5,0.019178082,1715,60,20,5,343,12,4,1.704615096,0.249026318,0.920150981
42,Annual,1,Upavaon Shallow,413650,155000,51.293964,-1.805615,Chalk,loam,clay loam,2.065060243,1.424075134,283.8368797,8.146276078,0.006819661,3.602016673,100314.2531,322.8489577,119.2308011,91.69874573,1.504922748,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,17.84902282,38.68250646,51,0,,2015,2019,5,0.18630137,53,50,20,5,10.6,10,4,1.307613655,0.407808966,0.789794408
49,Annual,1,Bessacar,459345,401015,53.502478,-1.106766,Triassic Sandstone,clay,clay,1.720700984,1.429400659,283.51076,7.170043959,0.006579769,3.655053897,101322.8567,322.3856432,117.1540981,3.566347599,0.334545791,5.199999809,51,17,32,1.220000029,52,19,29,1.230000019,33,0.01,0.370820239,1408.341236,2501,0,,2015,2019,5,0.290410959,54,50,20,5,10.8,10,4,0.619866118,0.136411108,0.88919892
84,Annual,1,Westpoint,298697,91240,50.711934,-3.436166,Permian Sandstone,loam,clay loam,2.139978092,1.449107805,284.4953765,7.064950844,0.007195571,4.035878427,101081.1455,326.8451115,123.0581164,24.96103096,3.564050913,17,22,41,37,1.399999976,29,37,34,1.350000024,30,0.14,6.257047417,698.7889628,51,0,,2015,2019,5,0.032876712,1814,60,20,5,362.8,12,4,4.660261713,0.361065814,0.887965684
95,Annual,1,Jevington,556341,101386,50.790961,0.216779,Chalk,loam,loam,2.369277105,1.490787693,283.9398798,6.103997887,0.007016763,5.676378468,100241.7467,320.6801294,122.4664456,73.28177643,5.517960548,0,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,7.297690853,792.1305304,1,0,,2015,2019,5,0.479452055,1383,49,19,5,276.6,9.8,3.8,42.27998681,4.617376201,0.641072819
96,Annual,1,Pickworth,504095,334375,52.896741,-0.45402,Oolites,clay,clay,1.698247533,1.507671575,283.438822,7.961938764,0.006569688,4.498303804,100657.0087,321.2413017,118.8878746,55.0868187,3.126763821,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,2.530655249,47.21798928,751,0,,2015,2019,5,0.169863014,57,57,20,5,11.4,11.4,4,30.11839765,2.401094626,0.741411615
132,Annual,1,Toad Hall,556510,131382,51.060446,0.23204,Corallian Limestone,loam,clay loam,2.451204822,1.352334044,283.8105332,8.545290384,0.006871268,3.4698129,100083.0196,320.2721215,116.1873677,130.0462952,5.002307892,42.09999847,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,1.470704813,246.9154949,251,0,,2015,2019,5,0.191780822,56,56,20,5,11.2,11.2,4,10.24718806,0.543172811,0.697607464
134,Annual,1,Leedsgate Farm,523725,358735,53.111449,-0.153044,Oolites,loamy sand,sandy clay loam,1.67957284,1.46377886,283.6843878,7.04030681,0.006657286,3.900908993,101253.0854,322.1530853,118.5915352,10.24935913,0.219877169,0.900000572,10,80,10,1.590000033,22,65,13,1.440000057,0.1,0.02,13.74849794,132.5070188,751,1301.904419,,2015,2019,5,0.169863014,58,58,20,5,11.6,11.6,4,1.532290164,0.315867763,0.912351931
137,Annual,1,Lullingstone,553496,164800,51.361528,0.203352,Lower Greensand,loam,loam,1.792880614,1.389624776,284.0798996,8.545290384,0.006861111,3.537953544,100729.3425,321.8322826,114.9573424,52.74417877,2.858519554,16.5,21,44,35,1.409999967,25,40,35,1.370000005,550,0.015,16.51576374,413.8281749,1,3490.212891,,2015,2019,5,0.002739726,1825,60,20,5,365,12,4,12.17181885,0.301185294,0.804642531
