No,Wavelet transform,period,label,easting,northing,lat,long,Aquifer,Top Soil,Sub Soil,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,train,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std,test,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std
2,Annual,1,Willow Tree Farm,420565,199295,51.692029,-1.703877,Oolites,sandy loam,sandy loam,1.822618217,1.405443142,283.1737634,7.673734289,0.006548313,3.765302436,100541.3844,321.3805886,116.7450139,,2004,2014,11,0.082191781,3835,128,43,11,348.6363636,11.63636364,3.909090909,0.753516967,0.314541846,,2015,2019,5,0,1826,60,20,5,365.2,12,4,0.824677974,0.349094542
10,Multiannual,7.1,Tollgate,564245,171712,51.420622,0.360804,Chalk,sandy loam,sandy loam,1.605095363,1.380898458,283.4087298,8.253918987,0.006636811,3.763375276,100933.1081,320.1450853,114.6818553,,1981,2014,34,0.454794521,360,355,133,34,10.58823529,10.44117647,3.911764706,19.83535061,1.350872402,,2015,2019,5,0.528767123,54,54,19,5,10.8,10.8,3.8,19.87946173,1.183524893
16,Annual,1,Grange Farm West Wratting,559541,251790,52.141359,0.329989,Chalk,clay,clay,1.702417744,1.453338526,282.881676,7.940990308,0.006403426,4.72550903,100299.7686,318.5321965,113.8890912,,1999,2014,16,0.17260274,184,183,63,16,11.5,11.4375,3.9375,30.87519775,1.671412853,,2015,2019,5,0.273972603,50,50,20,5,10,10,4,30.72049775,1.346459119
19,Annual,1,Thames Head,398635,198815,51.688083,-2.021137,Oolites,clay,clay,2.196565964,1.408868523,282.9890079,7.367098251,0.006515125,3.829409989,100113.001,320.7570129,118.2691754,,1971,2014,44,1.857534247,528,405,164,43,12.27906977,9.418604651,3.813953488,8.658148548,1.582885436,,2015,2019,5,0.347945205,53,53,20,5,10.6,10.6,4,8.375276908,1.294153846
20,Decadal,42.7,Moss Edge Farm,343971,449275,53.936531,-2.854924,Triassic Sandstone,silty clay loam,sandy clay loam,2.641797761,1.395752803,282.8580256,6.361278949,0.006336199,4.519472753,101263.0686,322.1310868,109.8721872,,1971,2014,44,1.183561644,6963,433,165,43,161.9302326,10.06976744,3.837209302,1.382122794,0.640462681,,2015,2019,5,0.21369863,1742,58,20,5,348.4,11.6,4,1.153395219,0.262547762
25,Annual,0.2,North Plantation,578560,259851,52.207941,0.611861,Lower Greensand,clay,clay,1.708213836,1.460099927,282.7968478,7.966193337,0.006387228,4.834172502,100221.3097,317.9290398,115.2028766,,1999,2014,16,0.326027397,168,166,62,16,10.5,10.375,3.875,41.13337802,0.205504054,,2015,2019,5,0.41369863,39,39,19,5,7.8,7.8,3.8,41.01495312,0.158208661
27,Annual,1,Kemps Drift,448933,465244,54.080785,-1.253548,Triassic Sandstone,sandy loam,sandy clay loam,1.702134669,1.411919269,282.6161845,7.343361654,0.006255619,4.626458817,100971.3692,319.9809089,111.6275827,,1992,2014,23,0.909589041,256,238,87,23,11.13043478,10.34782609,3.782608696,0.280410497,0.251353244,,2015,2019,5,0.57260274,50,45,18,5,10,9,3.6,0.15541831,0.10222035
28,Multiannual,7.1,Hungerdowns Farm,607216,229729,51.927485,1.012393,Chalk,sandy loam,sandy loam,1.577985055,1.500417098,283.3697101,6.800259882,0.006584577,4.899136822,101108.8595,320.0151098,117.3032722,,1974,2013,40,1.4,411,398,147,40,10.275,9.95,3.675,4.641834993,0.602481162,,2015,2019,5,0.191780822,48,48,18,5,9.6,9.6,3.6,4.524000443,0.552073113
30,Annual,1,Jackaments Bottom,396769,197268,51.674166,-2.048116,Oolites,clay,clay,2.230664994,1.457921872,282.8830381,7.367098251,0.006487685,4.590275433,99892.34722,320.2633907,119.396498,,1974,2014,41,0.095890411,8855,492,164,41,215.9756098,12,4,5.287955367,2.775497568,,2015,2019,5,0.052054795,1786,60,20,5,357.2,12,4,6.124304854,2.579950309
39,Annual,1,Mill Road,565789,308887,52.652362,0.44945,Oolites,loam,clay loam,1.688913638,1.474349986,283.1047525,7.57460208,0.006465787,4.927993785,101140.5664,320.0423034,114.5586053,,1999,2014,16,0.238356164,184,182,63,16,11.5,11.375,3.9375,7.624430819,0.313744836,,2015,2019,5,0.249315068,49,49,20,5,9.8,9.8,4,7.743219639,0.16940472
40,Annual,1,Water Acre,425845,177785,51.498413,-1.62907,Chalk,loam,loam,2.172903614,1.383016853,282.7147842,7.947018429,0.006431045,3.711906415,99585.69117,318.7789549,117.7998726,,1976,2014,39,0.205479452,5952,463,156,39,152.6153846,11.87179487,4,11.18691058,5.433272216,,2015,2019,5,0,1826,60,20,5,365.2,12,4,13.11928205,4.712032914
41,Annual,1,Upavon Deep,413670,155000,51.293964,-1.805328,Chalk,loam,clay loam,2.080917907,1.378912702,283.1288194,7.947018429,0.006572275,3.700374921,100314.2546,320.4804,116.9130138,,2002,2014,13,0.6,131,124,47,13,10.07692308,9.538461538,3.615384615,0.921815017,0.569071769,,2015,2019,5,0.18630137,54,51,20,5,10.8,10.2,4,1.014532009,0.558249272
43,Annual,1,Sherburn Quarry 3,448976,432699,53.7883,-1.258096,Magnesian Limestone,loam,loam,1.715309295,1.423464998,282.6571221,7.197851421,0.006274808,4.633708116,101020.3079,320.2256005,112.5243916,,1982,2014,33,0.542465753,380,374,130,33,11.51515152,11.33333333,3.939393939,15.50528125,0.230422981,,2015,2019,5,0.224657534,58,56,20,5,11.6,11.2,4,15.47319504,0.260646149
44,Annual,1,Berwick Bassett,410831,173495,51.460324,-1.845486,Chalk,loam,,2.1674138,1.368839162,282.6687601,7.947018429,0.006431505,3.748711652,99463.05536,318.6890358,117.2055523,,1975,2014,40,0.553424658,5763,456,154,40,144.075,11.4,3.85,11.88752761,4.17250027,,2015,2019,5,0.745205479,1488,52,19,5,297.6,10.4,3.8,12.54594757,4.143276379
