No,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs
3,2.24781251,2.545678854,0,49,19,32,1.24000001,47,21,32,1.24000001,90,0.001,47.21059533,139.4297237,1001,0
36,55.37200928,1.81083405,1.899997711,19,37,44,1.409999967,0,0,0,0,550,0.015,9.082651174,414.8000814,51,0
42,91.69874573,1.504922748,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,17.84902282,38.68250646,51,0
49,3.566347599,0.334545791,5.199999809,51,17,32,1.220000029,52,19,29,1.230000019,33,0.01,0.370820239,1408.341236,2501,0
84,24.96103096,3.564050913,17,22,41,37,1.399999976,29,37,34,1.350000024,30,0.14,6.257047417,698.7889628,51,0
95,73.28177643,5.517960548,0,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,7.297690853,792.1305304,1,0
96,55.0868187,3.126763821,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,2.530655249,47.21798928,751,0
132,130.0462952,5.002307892,42.09999847,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,1.470704813,246.9154949,251,0
134,10.24935913,0.219877169,0.900000572,10,80,10,1.590000033,22,65,13,1.440000057,0.1,0.02,13.74849794,132.5070188,751,1301.904419
137,52.74417877,2.858519554,16.5,21,44,35,1.409999967,25,40,35,1.370000005,550,0.015,16.51576374,413.8281749,1,3490.212891
173,138.7361755,4.865570545,5.100006104,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,32.40840962,773.3551718,1001,0
176,8.6740942,3.927866459,3.300000191,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,0.505246127,1179.835327,1,711.869812
177,98.39550781,1.502653718,3.800003052,51,17,32,1.220000029,52,19,29,1.230000019,184,0.02,1.782402328,312.0678377,51,0
218,31.95514107,1.283677936,16.20000267,19,37,44,1.409999967,31,31,38,1.330000043,130,0.0005,2.27347357,107.2832133,751,0
229,50.24606705,4.155673981,6.799999237,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,38.37260218,176.5608207,1001,0
236,145.2801208,2.247208357,57.09999847,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,18.64773999,463.2404554,251,0
238,80.21742249,1.558400154,1.099998474,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,5.04442609,74.53048326,101,0
255,13.30128098,0.494735688,0,49,19,32,1.24000001,47,21,32,1.24000001,100,0.005,22.15679031,547.1137359,1001,0
264,175.2384186,2.03237772,59.50000763,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,7.647990614,94.25878722,251,0
