No,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs
2,72.23679352,0.437775344,3.100006104,11,80,9,1.570000052,19,72,9,1.480000019,0.1,0.06,3.630712238,120.7160504,251,100.3227158
10,29.95890617,8.036122322,2.699998856,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,17.75109429,1628.325082,251,8.552083015
16,94.82769775,2.581180811,0.599998474,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,56.57861324,79.5966272,5001,0
19,108.0771637,6.447398186,3.100006104,54,22,24,1.230000019,44,34,22,1.279999971,184,0.02,5.50101399,191.3660449,251,0
20,5.284296989,1.035665751,2,40,20,40,0.275924206,27,47,26,0.282238722,33,0.01,4.736840749,107.7348115,1,0
25,106.7295685,1.41345036,8.599998474,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,66.71101306,62.53911903,5001,0
27,11.51841831,3.990374088,2.5,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,2.098813414,54.82825985,251,1.755312324
28,36.98066711,0.18478559,1.099998474,11,80,9,1.570000052,19,72,9,1.480000019,100,0.005,73.2195829,146.1015437,1001,403.6683655
30,105.9273071,5.86828661,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,3.601596885,118.5838186,251,0
39,25.75464821,2.866908073,9.100000381,24,47,29,1.389999986,34,39,27,1.330000043,270,0.0006,36.36913814,86.16199832,1001,0
40,145.401825,4.977367401,2.900009155,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,23.26764567,63.91252609,51,0
41,91.65601349,1.219533682,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,17.86687235,38.70026976,51,0
43,32.67578125,1.742551088,18.59999847,22,42,36,1.399999976,25,41,34,1.379999995,260,0.01,1.035799115,209.830765,501,0
44,169.6733551,2.168588877,0,19,37,44,1.409999967,0,0,0,0,550,0.015,16.68386135,55.30039445,51,0
47,109.8624115,2.851191759,21.8999939,9,78,13,1.600000024,23,64,13,1.429999948,33,0.01,0.746485285,58.38724439,1001,0
56,75.01563263,1.732971549,7.099998474,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,20.96205399,285.8142319,51,0
58,99.65593719,2.191395521,36.89999771,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,14.00146388,790.3823844,1,0
63,36.06915283,0.886274159,2.700000763,19,37,44,1.409999967,0,0,0,0,550,0.015,39.7843388,577.4225931,1,1324.546875
67,18.49160576,3.662299156,3.700000763,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,0.143062262,65.31352166,251,0
75,66.90311432,4.698286533,22.70000076,19,45,36,1.419999957,27,39,34,1.360000014,33,0.01,2.762280056,125.1209151,1001,0
79,19.15652275,1.215430617,6.399999619,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,25.91513592,105.0961988,51,0
82,118.1890106,3.098351002,3.800003052,22,41,37,1.399999976,29,37,34,1.350000024,300,0.00064,1.146802223,178.8040171,501,3710.9375
85,5.946015835,1.077541709,3.5,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,1.214954487,140.2040489,51,0
89,71.12849426,6.01686573,25.70000076,51,17,32,1.220000029,52,19,29,1.230000019,0.1,0.02,2.519740571,20.22620447,751,0
90,37.08323669,6.494699478,5.5,22,41,37,1.399999976,29,37,34,1.350000024,33,0.01,0.371337496,481.1097267,1001,0
94,77.65715027,2.241098881,1.599998474,9,78,13,1.600000024,23,64,13,1.429999948,33,0.01,2.50660904,220.7467912,251,0
99,67.76834869,0.685847819,3.599998474,5,89,6,1.700000048,5,89,6,1.700000048,30,0.14,0.178960653,116.0637785,1001,0
107,141.0203552,3.681048393,4.5,19,37,44,1.409999967,0,0,0,0,550,0.015,23.71928791,148.7496959,51,0
111,17.40144539,0.39579463,10.19999981,5,90,5,1.710000038,8,87,5,1.629999995,550,0.015,46.63534513,30.06412326,5001,0
116,78.47982788,1.641875148,4.199996948,19,37,44,1.409999967,0,0,0,0,550,0.015,18.61297705,182.7381644,51,0
117,79.05967712,2.379065037,4.199996948,19,37,44,1.409999967,0,0,0,0,550,0.015,18.6175394,182.2749278,51,0
118,83.46429443,0.191424772,0.400001526,22,42,36,1.399999976,25,41,34,1.379999995,0.1,0.06,5.988597057,113.806982,251,0
128,91.49639893,3.107840776,7,19,37,44,1.409999967,0,0,0,0,550,0.015,19.59968282,517.1250436,251,0
131,56.71195221,1.497074246,24.5,11,80,9,1.570000052,19,72,9,1.480000019,90,0.001,24.47339055,1074.38586,251,0
136,99.39503479,10.81232929,14.79999542,4,87,9,1.730000019,4,88,8,1.74000001,100,0.005,43.26085039,252.0835559,101,0
139,51.03430939,0.415271312,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,80.26077029,81.06147605,5001,8.77319622
143,46.84046936,6.628939629,1.599998474,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,16.39938893,387.0153468,1,0
146,200.5324402,3.674587965,18.8999939,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,34.56270198,105.1835938,1,0
151,104.7096481,6.08608675,9.900001526,19,37,44,1.409999967,0,0,0,0,550,0.015,37.07334892,85.92842909,1,0
153,123.4022064,1.677462578,0,22,42,36,1.399999976,0,0,0,0,184,0.02,4.419534381,194.6280935,51,0
157,104.5039063,3.228269339,8.199996948,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,16.64911602,398.7543659,1,0
164,18.92000008,0.511613369,0,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,4.288917043,5253.566562,101,0
