No,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs
3,5,6,9,5,4,1,4,5,1,2,1,9,6,7,1,8,5
36,9,9,6,1,2,2,2,4,7,4,6,8,4,7,4,2,1
42,9,9,0,0,8,8,4,0,0,4,5,7,3,0,5,8,4
49,0,9,0,1,5,1,0,1,3,9,3,9,8,7,2,5,1
84,3,1,5,7,5,8,4,3,7,7,1,7,8,6,5,6,0
95,1,6,1,0,3,1,8,7,5,3,9,6,9,7,8,2,7
96,4,6,9,1,9,5,3,7,6,9,0,3,7,9,1,6,3
132,8,5,1,5,6,9,2,2,0,3,8,9,2,4,4,2,6
134,6,7,4,0,6,7,4,4,9,2,1,4,4,2,6,2,3
137,0,9,1,2,5,6,0,9,0,5,6,9,5,7,9,3,8
173,3,6,9,5,8,3,3,5,0,3,6,8,7,4,0,7,8
176,0,3,4,8,6,2,9,5,2,2,2,7,1,6,7,3,0
177,7,6,4,0,9,6,2,5,1,6,8,0,5,8,2,7,4
218,8,4,9,8,1,3,2,4,9,7,6,4,3,1,3,4,3
229,5,7,4,7,4,8,8,2,1,6,3,2,3,1,5,7,7
236,5,7,1,2,1,9,8,1,9,0,1,2,9,3,9,5,4
238,1,6,1,0,7,8,8,4,2,4,3,3,4,3,1,7,1
255,2,3,5,9,5,0,2,2,1,7,1,8,0,5,1,8,7
264,8,6,7,0,7,1,4,9,1,3,9,2,8,0,3,8,9
271,0,4,9,3,4,8,7,4,4,8,2,7,5,0,1,9,5
287,1,6,7,0,0,7,8,9,0,9,6,0,7,9,9,0,1
297,3,8,4,3,1,3,3,0,0,2,9,3,2,0,0,3,2
302,9,1,7,1,2,7,3,5,9,3,6,9,5,5,9,2,8
303,7,0,9,0,5,9,7,2,1,5,4,6,6,2,6,2,6
311,3,4,5,5,4,7,7,7,7,5,8,9,9,9,5,0,0
312,9,1,2,2,3,7,4,2,3,4,7,8,8,2,1,6,5
318,7,0,6,5,0,8,0,5,9,9,5,5,0,5,2,4,2
324,4,9,6,8,8,3,9,0,0,0,5,9,2,1,1,3,3
337,9,8,4,0,8,3,7,3,6,7,2,0,4,7,3,3,9
339,2,5,3,9,2,6,9,6,4,5,5,3,6,8,6,8,2
340,8,3,7,5,3,3,3,0,5,8,2,8,8,8,1,4,0
346,8,2,0,0,5,1,4,0,0,3,7,7,6,8,6,7,7
364,6,5,0,5,1,2,9,2,1,8,8,5,8,9,7,8,2
381,1,0,2,5,6,8,5,4,2,2,9,4,2,0,7,1,1
399,2,2,9,0,4,2,4,9,5,2,5,4,2,0,0,2,8
413,3,5,0,4,2,5,1,9,7,0,1,9,1,0,8,3,5
423,7,6,0,0,8,1,0,1,6,7,6,5,4,7,9,1,1
430,9,4,5,7,3,1,7,5,2,9,5,4,6,3,6,7,8
466,1,3,5,4,2,0,8,6,8,7,0,0,9,8,7,0,8
469,3,0,6,1,4,8,5,0,5,9,7,2,0,3,6,7,3
489,9,7,8,0,1,1,6,3,1,4,2,2,1,7,7,5,5
512,4,3,1,3,6,1,3,5,1,3,9,4,5,0,7,5,9
516,4,0,3,7,4,9,6,9,3,2,7,8,3,2,4,6,9
518,8,6,9,6,9,6,5,7,2,4,1,6,5,6,5,3,4
