No,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs
2,5,8,5,9,0,3,4,7,8,8,1,2,4,0,4,3,5
10,0,4,4,2,9,2,9,7,2,8,9,7,4,4,8,1,0
16,9,2,2,9,0,6,7,9,9,9,9,9,9,6,0,3,4
19,3,7,1,0,4,9,7,4,6,3,3,7,3,8,9,5,6
20,9,1,2,1,2,6,5,6,7,8,6,4,1,9,9,3,2
25,2,9,3,5,7,6,4,1,8,1,7,2,0,9,2,2,6
27,1,2,0,4,1,7,9,2,7,4,8,2,3,5,9,5,0
28,9,7,0,5,3,0,6,4,4,2,2,7,0,3,3,9,3
30,1,3,1,0,3,1,4,6,9,0,4,8,8,0,7,1,6
39,6,0,3,5,3,1,3,6,0,1,7,5,0,1,2,2,5
40,2,8,0,6,7,6,9,3,8,5,1,3,1,9,4,3,2
41,6,0,0,5,5,3,1,3,8,3,1,4,7,4,9,7,2
43,1,7,8,8,3,0,7,1,1,7,9,2,2,4,5,6,3
44,1,2,7,2,6,3,6,2,6,5,3,6,4,0,9,2,6
47,5,1,2,3,0,6,5,9,9,2,5,9,9,7,3,4,2
56,3,7,4,0,9,6,2,1,3,2,9,8,9,5,3,7,8
58,7,1,8,6,6,9,3,2,4,7,7,1,5,1,5,7,0
63,3,5,5,3,6,0,5,0,8,6,5,6,1,3,0,6,4
67,9,2,6,3,3,0,9,9,3,9,2,8,1,2,0,8,4
75,7,0,0,9,5,7,5,6,9,7,7,7,3,0,3,9,6
79,2,3,3,3,5,8,9,4,6,0,2,7,0,2,3,3,7
82,3,2,1,8,1,5,6,2,5,4,9,5,3,5,7,2,8
85,3,6,6,7,3,4,7,1,3,8,8,3,5,9,7,1,7
89,1,2,1,8,2,1,8,7,4,3,8,8,2,7,1,6,6
90,9,4,6,8,4,7,7,2,9,5,0,8,8,4,0,0,4
94,9,7,7,1,1,7,3,2,3,4,1,9,2,1,8,8,7
99,2,7,2,3,8,0,2,8,0,7,5,7,7,4,8,4,9
107,0,7,3,8,4,4,6,0,4,8,4,4,5,5,0,0,1
111,7,4,7,4,4,8,1,0,9,8,5,6,4,3,3,2,3
116,3,7,3,6,6,5,9,5,3,1,9,0,7,1,7,5,2
117,1,2,1,9,0,3,1,8,7,9,7,2,5,2,3,0,3
118,5,4,3,1,2,1,7,6,2,3,2,2,1,9,8,6,8
128,2,3,8,1,1,0,5,4,4,1,6,7,7,9,4,0,6
131,0,7,5,6,8,6,5,7,6,4,0,0,2,7,0,9,1
136,2,0,1,1,9,4,5,4,4,2,7,4,3,5,3,2,1
139,2,0,3,0,0,9,5,7,1,3,0,7,3,6,5,2,6
143,9,5,9,7,0,3,7,6,4,3,6,2,4,0,2,9,6
146,5,5,9,0,5,8,3,1,3,2,8,8,3,8,5,4,5
151,6,2,2,5,4,4,2,5,6,2,9,8,7,7,3,0,6
153,8,1,8,1,8,9,1,4,9,8,4,6,8,2,3,9,0
157,8,0,1,4,4,7,5,0,7,8,1,8,1,0,8,9,3
164,3,2,1,1,4,5,8,0,9,3,0,1,3,0,4,8,0
170,8,8,6,5,3,5,8,2,6,4,0,2,4,5,2,8,3
183,0,8,8,3,7,6,0,4,0,5,9,2,2,7,7,4,6
198,4,5,2,5,2,1,7,3,0,6,8,3,0,7,6,0,6
199,9,7,6,6,7,2,6,2,7,8,9,9,7,6,1,7,4
201,2,1,9,1,3,1,2,4,1,7,5,2,3,8,8,2,6
208,7,7,8,0,6,3,4,7,2,5,2,6,4,3,5,3,4
212,1,8,7,3,9,2,7,3,4,7,6,0,5,6,7,9,0
215,4,8,9,6,2,9,1,5,0,8,8,6,3,7,7,7,2
216,5,9,4,8,7,1,9,1,9,5,2,5,7,5,3,4,2
227,1,9,1,1,4,7,0,0,5,8,8,6,3,5,8,8,4
230,8,1,7,4,1,1,0,5,4,6,4,8,2,3,8,7,6
232,8,1,8,4,9,9,8,5,8,3,8,2,8,3,5,8,1
233,6,3,2,2,5,5,4,7,8,3,2,8,6,3,2,1,1
234,4,7,9,5,3,2,6,5,1,0,0,0,5,8,6,0,2
246,3,4,9,7,6,9,7,7,7,7,9,2,7,7,6,1,6
248,3,1,4,4,3,3,3,2,7,3,1,9,9,2,5,6,7
253,5,4,9,3,8,3,0,5,9,3,3,0,6,4,2,6,9
263,4,3,8,1,9,6,1,6,4,1,5,6,1,7,8,0,0
275,4,0,5,5,8,6,7,9,9,5,7,3,8,6,4,7,0
