No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil,Poor20,Poor10
3,Multiannual,627131,163892,TRUE,-27.024212,-0.20066905,0.63378924,0.738117847,2.1360765,1.1297352,1.22026534,0.265911786,53,1.574370207,1.501872487,284.5010422,6.701862052,0.00708985,3.94572169,101266.2453,323.2666357,124.3998611,2.24781251,2.545678854,0,49,19,32,1.24000001,47,21,32,1.24000001,90,0.001,47.21059533,139.4297237,1001,0,Carboniferous Limestone,clay,clay,#N/A,#N/A
36,Annual,416690,133770,TRUE,-21.504074,-0.53855526,0.69518304,0.752841356,1.6400892,2.3654857,1.704615096,0.249026318,1715,2.155585983,1.471358083,284.1141326,8.146276078,0.006918289,3.574752089,100781.5713,323.6888219,123.6381242,55.37200928,1.81083405,1.899997711,19,37,44,1.409999967,0,0,0,0,550,0.015,9.082651174,414.8000814,51,0,Chalk,loam,,#N/A,#N/A
42,Annual,413650,155000,TRUE,0.49784178,0.76177484,0.80294085,0.835625311,0.8870401,0.92817724,1.307613655,0.407808966,53,2.065060243,1.424075134,283.8368797,8.146276078,0.006819661,3.602016673,100314.2531,322.8489577,119.2308011,91.69874573,1.504922748,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,17.84902282,38.68250646,51,0,Chalk,loam,clay loam,#N/A,#N/A
49,Annual,459345,401015,TRUE,-992.95404,-6.142727,0.63036674,0.513645082,7.920519,2.7287552,0.619866118,0.136411108,54,1.720700984,1.429400659,283.51076,7.170043959,0.006579769,3.655053897,101322.8567,322.3856432,117.1540981,3.566347599,0.334545791,5.199999809,51,17,32,1.220000029,52,19,29,1.230000019,33,0.01,0.370820239,1408.341236,2501,0,Triassic Sandstone,clay,clay,#N/A,#N/A
84,Annual,298697,91240,TRUE,-14.308231,0.2578653,0.55250335,0.580302865,1.2961353,0.48734677,4.660261713,0.361065814,1814,2.139978092,1.449107805,284.4953765,7.064950844,0.007195571,4.035878427,101081.1455,326.8451115,123.0581164,24.96103096,3.564050913,17,22,41,37,1.399999976,29,37,34,1.350000024,30,0.14,6.257047417,698.7889628,51,0,Permian Sandstone,loam,clay loam,#N/A,#N/A
95,Annual,556341,101386,TRUE,-5.655595,0.010381579,0.6181467,0.648419536,1.2629021,0.12569164,42.27998681,4.617376201,1383,2.369277105,1.490787693,283.9398798,6.103997887,0.007016763,5.676378468,100241.7467,320.6801294,122.4664456,73.28177643,5.517960548,0,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,7.297690853,792.1305304,1,0,Chalk,loam,loam,#N/A,#N/A
96,Annual,504095,334375,FALSE,-108.44274,-0.13399124,0.6842785,0.786860277,0.16859418,0.2964233,30.11839765,2.401094626,57,1.698247533,1.507671575,283.438822,7.961938764,0.006569688,4.498303804,100657.0087,321.2413017,118.8878746,55.0868187,3.126763821,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,2.530655249,47.21798928,751,0,Oolites,clay,clay,#N/A,#N/A
132,Annual,556510,131382,FALSE,-15.034441,0.1456539,0.43244928,0.431308889,1.1972046,1.6073775,10.24718806,0.543172811,56,2.451204822,1.352334044,283.8105332,8.545290384,0.006871268,3.4698129,100083.0196,320.2721215,116.1873677,130.0462952,5.002307892,42.09999847,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,1.470704813,246.9154949,251,0,Corallian Limestone,loam,clay loam,#N/A,#N/A
134,Annual,523725,358735,TRUE,-1.3170033,0.38976926,0.86517286,0.87025958,0.71470636,0.47768885,1.532290164,0.315867763,58,1.67957284,1.46377886,283.6843878,7.04030681,0.006657286,3.900908993,101253.0854,322.1530853,118.5915352,10.24935913,0.219877169,0.900000572,10,80,10,1.590000033,22,65,13,1.440000057,0.1,0.02,13.74849794,132.5070188,751,1301.904419,Oolites,loamy sand,sandy clay loam,#N/A,#N/A
137,Annual,553496,164800,TRUE,-1624.8922,-4.287958,0.3827373,0.319867067,1.9872031,6.15821,12.17181885,0.301185294,1825,1.792880614,1.389624776,284.0798996,8.545290384,0.006861111,3.537953544,100729.3425,321.8322826,114.9573424,52.74417877,2.858519554,16.5,21,44,35,1.409999967,25,40,35,1.370000005,550,0.015,16.51576374,413.8281749,1,3490.212891,Lower Greensand,loam,loam,#N/A,#N/A
