No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
3,Multiannual,627131,163892,TRUE,-39.204082,-0.4728781,0.4693119,0.584783564,2.3657336,0.84994715,1.22026534,0.265911786,53,1.574370207,1.501872487,284.5010422,6.701862052,0.00708985,3.94572169,101266.2453,323.2666357,124.3998611,2.24781251,2.545678854,0,49,19,32,1.24000001,47,21,32,1.24000001,90,0.001,47.21059533,139.4297237,1001,0,Carboniferous Limestone,clay,clay
36,Annual,416690,133770,TRUE,-50.462242,-1.5791221,0.71195614,0.781530592,1.9677984,3.373254,1.704615096,0.249026318,1715,2.155585983,1.471358083,284.1141326,8.146276078,0.006918289,3.574752089,100781.5713,323.6888219,123.6381242,55.37200928,1.81083405,1.899997711,19,37,44,1.409999967,0,0,0,0,550,0.015,9.082651174,414.8000814,51,0,Chalk,loam,
42,Annual,413650,155000,TRUE,0.52195823,0.7586327,0.8278903,0.88502645,0.87521136,0.88570416,1.307613655,0.407808966,53,2.065060243,1.424075134,283.8368797,8.146276078,0.006819661,3.602016673,100314.2531,322.8489577,119.2308011,91.69874573,1.504922748,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,17.84902282,38.68250646,51,0,Chalk,loam,clay loam
49,Annual,459345,401015,TRUE,-641.1799,-4.698829,0.6656959,0.536980434,6.564286,2.18481,0.619866118,0.136411108,54,1.720700984,1.429400659,283.51076,7.170043959,0.006579769,3.655053897,101322.8567,322.3856432,117.1540981,3.566347599,0.334545791,5.199999809,51,17,32,1.220000029,52,19,29,1.230000019,33,0.01,0.370820239,1408.341236,2501,0,Triassic Sandstone,clay,clay
84,Annual,298697,91240,TRUE,-3.96131,-0.3204471,0.14794418,0.146383798,0.94378734,2.0071905,4.660261713,0.361065814,1814,2.139978092,1.449107805,284.4953765,7.064950844,0.007195571,4.035878427,101081.1455,326.8451115,123.0581164,24.96103096,3.564050913,17,22,41,37,1.399999976,29,37,34,1.350000024,30,0.14,6.257047417,698.7889628,51,0,Permian Sandstone,loam,clay loam
95,Annual,556341,101386,TRUE,-5.486987,-0.00190866,0.6023759,0.760860881,1.2587775,0.11753168,42.27998681,4.617376201,1383,2.369277105,1.490787693,283.9398798,6.103997887,0.007016763,5.676378468,100241.7467,320.6801294,122.4664456,73.28177643,5.517960548,0,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,7.297690853,792.1305304,1,0,Chalk,loam,loam
96,Annual,504095,334375,FALSE,-44.08993,-0.13214016,0.49191016,0.448319452,0.48065898,1.8682581,30.11839765,2.401094626,57,1.698247533,1.507671575,283.438822,7.961938764,0.006569688,4.498303804,100657.0087,321.2413017,118.8878746,55.0868187,3.126763821,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,2.530655249,47.21798928,751,0,Oolites,clay,clay
132,Annual,556510,131382,FALSE,-75.76107,-4.695773,0.08444217,0.129775566,1.3051497,6.613431,10.24718806,0.543172811,56,2.451204822,1.352334044,283.8105332,8.545290384,0.006871268,3.4698129,100083.0196,320.2721215,116.1873677,130.0462952,5.002307892,42.09999847,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,1.470704813,246.9154949,251,0,Corallian Limestone,loam,clay loam
134,Annual,523725,358735,TRUE,-0.8196769,0.45552647,0.8359468,0.851828526,0.75325066,0.54321676,1.532290164,0.315867763,58,1.67957284,1.46377886,283.6843878,7.04030681,0.006657286,3.900908993,101253.0854,322.1530853,118.5915352,10.24935913,0.219877169,0.900000572,10,80,10,1.590000033,22,65,13,1.440000057,0.1,0.02,13.74849794,132.5070188,751,1301.904419,Oolites,loamy sand,sandy clay loam
137,Annual,553496,164800,TRUE,-630.2831,-0.5679281,0.6761507,0.669955349,1.6199749,2.4032726,12.17181885,0.301185294,1825,1.792880614,1.389624776,284.0798996,8.545290384,0.006861111,3.537953544,100729.3425,321.8322826,114.9573424,52.74417877,2.858519554,16.5,21,44,35,1.409999967,25,40,35,1.370000005,550,0.015,16.51576374,413.8281749,1,3490.212891,Lower Greensand,loam,loam
173,Annual,625386,140103,TRUE,-4.6967797,0.08020878,0.4816702,0.477028389,0.6627159,0.31912592,69.22095856,10.54461259,1826,2.393154433,1.485532175,283.7002456,6.701862052,0.006948768,5.335425042,99610.11471,319.7724384,123.6540026,138.7361755,4.865570545,5.100006104,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,32.40840962,773.3551718,1001,0,Chalk,silt loam,loam
176,Annual,342026,365125,TRUE,-588.76337,-2.100684,0.6272341,0.641435853,3.9958522,1.7072389,1.341000858,0.165677762,1802,1.884063526,1.423678133,283.7010402,6.877820409,0.006701128,3.73791492,101197.4331,324.6980757,117.0993482,8.6740942,3.927866459,3.300000191,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,0.505246127,1179.835327,1,711.869812,Triassic Sandstone,loam,clay loam
177,Annual,428955,210655,FALSE,0.50650936,0.71854615,0.9119078,0.963469592,1.181774,1.1959975,2.121472722,0.780107639,57,1.874479737,1.41466859,283.6218576,7.806790904,0.006701196,3.584087332,100098.3191,322.4127155,116.8608451,98.39550781,1.502653718,3.800003052,51,17,32,1.220000029,52,19,29,1.230000019,184,0.02,1.782402328,312.0678377,51,0,Oolites,clay,clay
218,Annual,505345,363625,FALSE,-16.34695,-0.34738314,-0.14744103,-0.212098478,1.7026223,0.9282894,12.59764107,2.269473232,60,1.737623218,1.509003752,283.5508383,7.04030681,0.006609659,4.561794994,101020.4452,321.83794,118.7584941,31.95514107,1.283677936,16.20000267,19,37,44,1.409999967,31,31,38,1.330000043,130,0.0005,2.27347357,107.2832133,751,0,Oolites,loam,clay loam
229,Multiannual,623984,153700,TRUE,-364.73102,-0.055179596,0.39175808,0.288869616,0.28913423,1.4879723,28.89181173,1.076963313,47,2.06818182,1.495717899,284.1827794,6.701862052,0.007028121,4.623345562,100604.444,321.8780204,122.4613366,50.24606705,4.155673981,6.799999237,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,38.37260218,176.5608207,1001,0,Lower Greensand,sandy loam,sandy loam
236,Annual,567460,164680,TRUE,-2779.332,0.23573995,0.5637257,0.596709777,0.58913076,0.52571726,113.2744512,0.882755916,1600,1.858707561,1.439022573,283.6720275,8.545290384,0.006752663,4.343152255,99882.5199,319.7345254,115.8439486,145.2801208,2.247208357,57.09999847,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,18.64773999,463.2404554,251,0,Chalk,sandy clay loam,clay loam
238,Annual,497435,312335,FALSE,-27.769995,0.22155803,0.8658192,0.921865187,0.2842453,0.7249319,12.73030385,1.706798024,59,1.743756847,1.509396009,283.4353129,8.170701117,0.006566161,4.437164208,100448.0259,321.2236694,118.8052939,80.21742249,1.558400154,1.099998474,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,5.04442609,74.53048326,101,0,Oolites,clay,clay
255,Annual,490055,105745,TRUE,-0.33977628,0.4825616,0.66025174,0.71333784,1.3252094,0.7842399,0.884331827,0.329818924,59,2.099233296,1.451054752,284.4334392,6.336254195,0.007045875,3.386992298,101332.8498,323.3428726,123.5502422,13.30128098,0.494735688,0,49,19,32,1.24000001,47,21,32,1.24000001,100,0.005,22.15679031,547.1137359,1001,0,Chalk,clay,clay
264,Multiannual,471045,187253,TRUE,-31.551868,-1.2548983,0.115718484,0.017010937,0.9467095,3.0735924,88.16175193,0.983576241,39,2.049233299,1.470340541,283.2442582,8.154764635,0.006580623,4.249564207,99274.83763,319.5642603,119.3912903,175.2384186,2.03237772,59.50000763,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,7.647990614,94.25878722,251,0,Chalk,sandy clay loam,clay loam
271,Annual,494609,442896,TRUE,-6.413065,0.37393612,0.8664898,0.838329617,0.7137293,0.4594632,34.26123318,3.707547806,58,1.992606794,1.442092081,282.9902753,7.297097527,0.006474111,4.628332713,100598.7196,319.3077831,118.2381109,55.20554352,3.371279478,6.200000763,19,37,44,1.409999967,0,0,0,0,550,0.015,9.340344288,91.72454819,51,0,Chalk,loam,
287,Multiannual,624617,160944,TRUE,-190.51442,-1.2542634,0.50462556,0.410098096,3.1833887,1.2629375,1.159653259,0.183594995,49,1.602245344,1.478737954,284.4584169,6.701862052,0.007083187,3.907532313,101177.6456,323.1032602,122.8454145,3.558632851,7.633376598,3.799999952,21,39,40,1.399999976,21,41,38,1.399999976,520,0.005,43.37214354,112.9018868,1001,0,Chalk,loam,loam
297,Annual,506038,345901,TRUE,0.08417916,0.013319194,0.48895422,0.613128417,0.79888797,0.18029003,1.010745584,0.832473562,55,1.705202624,1.50136089,283.6816119,7.961938764,0.006641017,4.527837201,101250.2325,322.4006122,117.1110236,15.44710922,1.230912328,0,54,22,24,1.230000019,44,34,22,1.279999971,184,0.02,5.222917668,290.7896776,751,35.31599426,Oolites,clay,clay
302,Annual,531819,109458,TRUE,-76.19507,0.3610422,0.8114045,0.915878564,0.470987,1.3047035,67.11031916,4.056137392,1799,2.321193861,1.502602111,283.9113754,6.292935412,0.006929302,4.14421835,100242.3233,320.6242239,127.5791787,91.28765869,9.974733353,0,19,37,44,1.409999967,0,0,0,0,550,0.015,10.05959683,1930.27454,1,0,Chalk,loam,
303,Annual,548655,364605,FALSE,-134.06464,-2.5197713,-0.5264996,-0.550604897,3.505637,2.944338,0.865841016,0.196178636,57,1.809419492,1.520360682,283.6525203,6.437349428,0.006677425,4.859092765,101214.1845,321.6319263,119.7478984,4.848472595,1.115942478,0.599999905,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,12.18957628,81.1427191,751,0,Spilsby Sandstone,loam,clay loam
311,Annual,589670,149272,TRUE,-8411.573,-8.03273,0.80226696,0.785053791,10.019587,1.4451851,6.199434757,0.609669009,56,1.828313254,1.509166751,283.8821058,7.604655088,0.006886554,4.396422273,100109.8072,320.5258706,124.4884452,108.6147919,2.566547394,42,22,42,36,1.399999976,25,41,34,1.379999995,270,0.0006,12.79083825,101.0276796,1001,9.910313606,Corallian Limestone,loam,loam
312,Multiannual,501015,342715,TRUE,-388.20874,0.39591473,0.76673245,0.803496684,0.4588614,1.132953,4.720954347,0.129584181,56,1.744961668,1.44691948,283.4983112,8.170701117,0.006587105,3.744101973,100836.1177,321.6099672,117.9596635,25.83256149,0.650445879,0.099998474,22,42,36,1.399999976,0,0,0,0,130,0.0005,3.813014503,95.0555383,751,0,Oolites,loam,
318,Annual,438130,175470,TRUE,-10250.049,-47.46107,0.81273997,0.817156247,49.02095,7.5146046,0.431461819,0.205092485,1656,1.887623228,1.464691357,283.6811991,8.427272862,0.006737701,3.540311786,100138.5792,322.0197981,122.9732693,106.2253952,1.516220093,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,33.13087035,62.67278141,51,0,Chalk,sandy clay loam,clay loam
