No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
3,Multiannual,627131,163892,TRUE,-1019.0096,-6.454848,0.37316352,0.429916744,7.918705,3.70435,1.22026534,0.265911786
36,Annual,416690,133770,TRUE,-1096.8768,-5.6840687,0.7596116,0.768895436,5.7864003,5.6593556,1.704615096,0.249026318
42,Annual,413650,155000,TRUE,-1293.1931,-12.206807,0.41521063,0.39081342,11.937555,8.3789,1.307613655,0.407808966
49,Annual,459345,401015,TRUE,-578.0698,-4.4469066,0.2743914,0.09062977,6.2753425,2.1459444,0.619866118,0.136411108
84,Annual,298697,91240,TRUE,-285.1027,-3.4636068,0.2695167,0.288076726,2.2508435,5.2220488,4.660261713,0.361065814
95,Annual,556341,101386,TRUE,-151.7797,-0.823462,0.03330276,-0.115225437,2.3452682,0.23792166,42.27998681,4.617376201
96,Annual,504095,334375,FALSE,-8.613838,0.24887317,0.7205467,0.604900661,0.7609403,0.34505907,30.11839765,2.401094626
132,Annual,556510,131382,FALSE,-248.7496,-2.3912792,0.4961949,0.470385146,1.8123686,4.253777,10.24718806,0.543172811
134,Annual,523725,358735,TRUE,-66.62642,-0.74250865,0.839014,0.861397904,2.6874838,1.403519,1.532290164,0.315867763
137,Annual,553496,164800,TRUE,-273.57425,-0.763227,0.85048044,0.830714586,1.4072276,2.7090378,12.17181885,0.301185294
173,Annual,625386,140103,TRUE,-2.1654155,0.012439668,0.46918327,0.435899459,0.76831686,0.20010506,69.22095856,10.54461259
176,Annual,342026,365125,TRUE,-1359.186,-5.0675225,0.5847294,0.62442969,5.5222936,5.0238686,1.341000858,0.165677762
177,Annual,428955,210655,FALSE,-151.28314,-3.6266732,0.5949544,0.635895117,5.4984384,2.0030563,2.121472722,0.780107639
218,Annual,505345,363625,FALSE,-16.237677,-0.1328479,0.66492605,0.748249418,0.2689886,0.20207003,12.59764107,2.269473232
229,Multiannual,623984,153700,TRUE,-570.8173,-0.18619084,0.21688312,0.584735474,0.1098143,0.9633134,28.89181173,1.076963313
236,Annual,567460,164680,TRUE,-8187.5767,-0.18565619,0.33106852,0.282016345,0.2949156,1.6790949,113.2744512,0.882755916
238,Annual,497435,312335,FALSE,-2.5291336,0.10750055,0.14534456,0.270892699,0.83931375,1.2007474,12.73030385,1.706798024
255,Annual,490055,105745,TRUE,-1196.9021,-11.934829,0.71075445,0.811551868,13.897578,1.9375683,0.884331827,0.329818924
264,Multiannual,471045,187253,TRUE,-1658.6603,-0.33709133,0.17457311,0.112089924,0.54606056,1.9489081,88.16175193,0.983576241
271,Annual,494609,442896,TRUE,-22.178616,0.000102639,0.4854598,0.476413136,0.488017,0.31231076,34.26123318,3.707547806
287,Multiannual,624617,160944,TRUE,-192.4203,-1.7042992,0.77343404,0.786961553,3.1808028,2.583053,1.159653259,0.183594995
297,Annual,506038,345901,TRUE,-8.898877,-1.6454775,0.40829316,0.469542003,3.4778328,0.28670204,1.010745584,0.832473562
302,Annual,531819,109458,TRUE,-125.49045,-0.10036385,0.32364285,0.483441825,0.32270324,0.45721957,67.11031916,4.056137392
303,Annual,548655,364605,FALSE,-354.68933,-3.469212,-0.17350382,-0.161786197,5.244764,1.7607827,0.865841016,0.196178636
311,Annual,589670,149272,TRUE,-5697.8535,-6.5297046,0.42691892,0.41290192,8.421529,2.1353312,6.199434757,0.609669009
312,Multiannual,501015,342715,TRUE,-1676.4047,-6.063748,0.48993343,0.541719674,2.1050868,7.9581614,4.720954347,0.129584181
318,Annual,438130,175470,TRUE,-6880.1514,-38.753857,0.3799131,0.382067398,40.30581,6.919972,0.431461819,0.205092485
324,Annual,414670,227860,TRUE,-209.07657,-1.5093741,0.49510846,0.236571694,1.6230272,3.377792,25.38327815,1.115433657
337,Annual,489058,182936,TRUE,-53.64524,-0.04626894,0.91436225,0.908501848,2.04141,1.0530288,2.749891418,0.388052214
339,Decadal,559006,160641,TRUE,-20939.71,-14.62055,0.3855483,0.42098014,0.724417,16.60613,83.83581914,0.160672481
340,Multiannual,537245,389465,FALSE,-897.42126,0.011175096,0.38460943,0.302801406,0.49692488,1.5882123,12.35013058,0.207549273
346,Decadal,333635,548625,FALSE,-282.89435,-1.025569,0.68566084,0.631615965,1.749411,2.8554091,6.205008849,0.278565773
364,Multiannual,461475,404015,TRUE,-57.065624,-0.16407764,0.42287967,0.575028708,1.7818038,1.6409354,3.43142616,0.359259442
381,Annual,512910,110750,TRUE,-3.7446628,0.16974062,0.68987024,0.667424363,0.58267355,0.35270664,32.84680767,6.76412652
399,Annual,507365,311205,FALSE,-47.55588,-5.0466976,0.6579016,0.660248479,6.991834,0.26277354,1.317311543,1.141264546
413,Annual,505145,339485,TRUE,-10.380894,0.021803081,0.49623105,0.464985133,0.43075266,0.38433498,15.1495129,2.646960178
423,Multiannual,487395,125045,TRUE,-5354.0293,-5.579446,0.23267947,0.198209469,1.5068533,7.5148864,45.12096925,0.314108729
430,Decadal,510715,420895,TRUE,-11.445906,-0.8457532,0.17990556,0.10632091,1.1387167,2.6477346,6.648543045,0.39731749
466,Annual,498905,375335,FALSE,-66.654205,-0.7715672,0.38679567,0.422391786,2.2543814,2.0903974,4.477153777,0.702547852
469,Annual,594729,165259,TRUE,-72.53841,-0.29138303,0.15273729,0.201524554,0.2762792,0.34727973,10.27694659,0.873362636
489,Annual,454185,123415,TRUE,-6.758592,-0.11220324,0.7385415,0.773513805,0.29498455,0.180495,18.6796224,4.980199952
512,Annual,503035,368725,FALSE,-2462.0664,-3.905501,0.48691073,0.573596802,1.8240925,5.808532,7.771311516,0.129810985
516,Annual,493890,428182,TRUE,-0.92040765,-0.25774515,0.31964844,0.628753453,0.423055,0.11333268,6.426906755,3.745585163
518,Annual,414140,126240,TRUE,-2.4929585,0.60821694,0.6260729,0.583328576,0.9057111,1.069154,11.81084107,0.679169917
519,Decadal,556409,97729,TRUE,-29012.773,-7.2184305,0.5426934,0.585848113,0.6340217,9.197591,72.83048385,0.156686952
523,Annual,504835,362615,FALSE,-35.348022,-3.1584854,0.5405877,0.602530718,1.0555956,5.1326795,15.32188285,0.223293984
524,Annual,292214,80512,TRUE,-1738.6433,-5.2944694,0.62223125,0.485522996,2.3918657,7.127027,23.49952421,0.794056774
534,Multiannual,505649,194842,TRUE,-4982.616,-1.3528202,0.56426024,0.62046495,0.190325,3.165727,23.00829284,0.264087385
547,Annual,443980,177743,TRUE,-7.936162,0.006873667,0.54936135,0.533977494,0.4666314,0.29378298,19.63674059,3.663664281
565,Annual,503815,102495,TRUE,-19.98524,0.54031813,0.81445235,0.820798783,0.6727322,1.2641535,5.011843392,0.362737871
574,Annual,435355,151255,TRUE,-0.6397693,-0.13272786,0.16418147,0.175808603,0.91754276,0.23994696,36.4277867,3.694591283
579,Multiannual,624809,158620,TRUE,-14886.244,-7.260416,0.2575398,0.297247813,0.53795856,9.214076,30.43943753,0.115583885
586,Annual,469505,141905,TRUE,-1803.5205,-1.3388128,0.5984446,0.572615856,1.555209,3.2361937,54.59631483,0.715080837
597,Annual,640912,309568,TRUE,-88.912415,-8.392026,0.67255473,0.71733778,10.384897,0.8350887,0.345809003,0.343357761
603,Decadal,458205,162865,TRUE,-262.16827,-0.23237216,0.1758115,0.308818692,0.78830796,1.8914292,51.17590143,0.672830579
637,Decadal,458855,146055,TRUE,-452.57605,-0.005800605,0.23917817,0.189412447,0.5269365,1.4571618,61.13933845,1.361694788
668,Multiannual,630368,158751,TRUE,-8.286254,0.23771107,0.5557935,0.510843152,0.7517032,1.567553,6.934133389,0.625708733
669,Annual,586092,303080,TRUE,-25.161055,-1.063874,0.42613932,0.370404535,2.9738798,0.81541884,0.964573763,0.379343346
681,Annual,498975,383875,FALSE,-17.61096,0.1784761,0.61470294,0.671042539,0.44595715,0.5315089,10.36848397,1.354692854
682,Annual,637412,152312,FALSE,-179.85338,-3.9100518,-0.044284552,-0.032017266,1.3201301,5.787066,5.133488436,0.136076996
683,Annual,610938,148896,TRUE,-2.3345575,0.10796642,0.5550458,0.554120397,0.8589529,0.23983863,94.49867752,8.357818995
697,Annual,414545,176455,TRUE,-14.950022,0.36755508,0.47628456,0.456049094,0.68673396,0.83394855,67.03377945,5.413200029
700,Annual,496055,122035,TRUE,-15.628466,-2.3167644,0.31231743,0.284641784,1.024794,4.2446065,8.800154081,0.425372747
701,Annual,499885,379795,FALSE,-46.993576,0.34082115,0.6571716,0.661427461,1.505086,1.2487473,6.205743603,0.456837777
743,Annual,501945,365615,FALSE,-1993.3011,-7.501748,0.22257641,0.184219879,0.4859491,9.450592,9.553313384,0.112421315
748,Decadal,574327,301697,TRUE,-0.8593229,0.5788042,0.8293096,0.82999974,0.92773825,1.3782228,4.55464867,0.29487891
751,Multiannual,445765,172445,TRUE,-464.7465,-22.275967,0.46381563,0.499244473,24.196404,2.8473454,0.441410977,0.477776491
767,Multiannual,446125,176275,TRUE,0.08684939,0.29432684,0.42279252,0.43387367,1.0456616,0.5966131,15.12695053,2.780945742
785,Annual,565468,119119,TRUE,-69.563515,-1.0330219,0.35299605,0.327857255,2.8461854,1.5533226,6.004934762,1.341963484
800,Annual,610570,143953,FALSE,-33.69275,0.26076287,0.50088453,0.489107088,0.5395868,0.7078101,73.85123276,5.839832375
821,Annual,618650,146611,TRUE,-14.685392,-1.2193632,0.25813052,0.249821412,2.9335804,0.20220919,14.22939524,7.164220031
829,Annual,492225,115785,TRUE,-19.619139,0.09912455,0.85706586,0.758724203,0.71625113,0.15700948,105.0045851,6.685179462
834,Annual,505025,413865,FALSE,-37.70548,-1.2846012,0.073424,0.044980429,0.7890312,3.0775862,24.8739213,0.979779809
839,Annual,420155,121255,TRUE,-922.0387,0.02800548,0.54127866,0.62045382,0.43729058,1.6463044,35.74835213,0.662802885
841,Annual,450424,534735,FALSE,-8833.8,-19.514297,-0.02080153,-0.106915056,7.972305,20.266224,1.714488195,0.130255844
845,Annual,556450,127160,TRUE,-477.52823,-6.317826,0.42201167,0.487479146,7.489271,4.3325624,1.802426352,0.543923709
848,Multiannual,459275,83955,TRUE,-1703.677,-0.06312275,0.52975464,0.468966937,0.11395126,0.64784074,30.65664889,0.658043726
859,Multiannual,499825,119865,TRUE,-73.19032,0.02954948,0.46244752,0.405481897,0.3752275,0.48768136,17.31612791,1.262740882
874,Annual,523534,109306,TRUE,-60.505074,0.22720152,0.31543922,0.416002708,1.3506433,0.9248784,43.28240865,1.95550752
875,Annual,593230,336904,FALSE,-1027.2551,0.31232518,0.8380952,0.816456015,0.40411183,1.3026605,16.73738573,0.311107475
890,Decadal,434770,529240,FALSE,-207.20609,-6.111788,0.030163627,0.060872857,0.8988236,8.044648,37.75045226,0.319426611
900,Annual,624070,143381,TRUE,-35.047443,0.009100974,0.5615019,0.580929597,0.40555125,0.33952224,52.46110156,5.247853956
901,Multiannual,496495,163345,FALSE,-1.2753398,0.3608052,0.39472818,0.352956201,0.94683295,0.80153537,6.450939569,0.304864626
902,Annual,538051,134071,TRUE,-133.22859,-6.7472835,0.5341833,0.594802438,8.445408,3.0903585,0.529669681,0.349966186
912,Annual,380005,265485,TRUE,-35.393253,0.28553057,0.63476616,0.570554561,1.5720618,1.2231967,11.24074729,1.080016475
933,Annual,393077,187787,TRUE,-991.5325,-9.682386,0.7823018,0.7461968,10.14281,6.520438,1.956762211,0.577642309
947,Annual,591390,150250,TRUE,-56.076275,-4.3661604,0.47612885,0.49774683,0.9297204,6.3400865,19.90448989,0.298806284
948,Annual,591385,150264,TRUE,-444.57474,-6.0316424,-0.005878296,-0.055348091,1.3524405,7.9504175,19.96767267,0.360409134
