No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
3,Multiannual,627131,163892,TRUE,-1200.4255,-9.986217,-0.0133358,0.057994398,8.280331,9.16502,1.22026534,0.265911786
36,Annual,416690,133770,TRUE,-5448.3506,-15.4716625,0.5750263,0.587348224,11.614721,13.588257,1.704615096,0.249026318
42,Annual,413650,155000,TRUE,-58.03445,-1.8846598,0.35962456,0.351413491,3.2672775,2.6645322,1.307613655,0.407808966
49,Annual,459345,401015,TRUE,-106.55597,-1.5754609,0.7212267,0.644452905,3.2533097,2.2157068,0.619866118,0.136411108
84,Annual,298697,91240,TRUE,-67.39464,-1.6557343,0.001081708,-0.003121686,0.42073256,3.3915646,4.660261713,0.361065814
95,Annual,556341,101386,TRUE,-217.681,-0.8804208,0.58483493,0.698849885,2.6117618,0.12487471,42.27998681,4.617376201
96,Annual,504095,334375,FALSE,-21.565994,0.30593652,0.4247082,0.258807897,0.6300262,0.882175,30.11839765,2.401094626
132,Annual,556510,131382,FALSE,-24.354027,-2.0565195,0.1126647,0.027144837,0.8334719,3.920147,10.24718806,0.543172811
134,Annual,523725,358735,TRUE,-0.6923988,0.42964792,0.82507646,0.829612799,1.1965873,1.5060254,1.532290164,0.315867763
137,Annual,553496,164800,TRUE,-1203.4966,-1.9896686,0.7719799,0.745917978,1.855237,3.8556554,12.17181885,0.301185294
173,Annual,625386,140103,TRUE,-0.94405496,0.15294772,0.6228871,0.613317086,0.8330973,0.26011702,69.22095856,10.54461259
176,Annual,342026,365125,TRUE,-4865.0625,-17.43986,0.24490038,0.481040771,9.352097,17.422676,1.341000858,0.165677762
177,Annual,428955,210655,FALSE,-70.40447,-4.9426093,0.59346855,0.664386901,3.200419,6.5052333,2.121472722,0.780107639
218,Annual,505345,363625,FALSE,-21.268795,-0.24128234,0.7944602,0.833972437,0.16617537,0.10374588,12.59764107,2.269473232
229,Multiannual,623984,153700,TRUE,-179.82347,0.038502693,0.2224914,0.244637179,0.50159,1.2674798,28.89181173,1.076963313
236,Annual,567460,164680,TRUE,-6963.2705,-10.360622,-0.4644448,-0.196621668,0.3572774,12.247505,113.2744512,0.882755916
238,Annual,497435,312335,FALSE,-13.786344,-1.1379602,-0.001309346,0.42558415,0.683104,2.862213,12.73030385,1.706798024
255,Annual,490055,105745,TRUE,-2185.5103,-16.44835,0.2799065,0.257402599,18.433031,1.1288123,0.884331827,0.329818924
264,Multiannual,471045,187253,TRUE,-2118.5977,-0.3400234,-0.039574098,-0.083232085,0.4868413,1.6720258,88.16175193,0.983576241
271,Annual,494609,442896,TRUE,-75.11855,-0.2685747,0.52568704,0.630377606,0.060716644,0.29144114,34.26123318,3.707547806
287,Multiannual,624617,160944,TRUE,-242.46388,-3.378992,0.5104759,0.584490614,3.3781385,4.6442547,1.159653259,0.183594995
297,Annual,506038,345901,TRUE,-15.239904,-2.339059,0.7808312,0.830961273,4.2527304,0.2781595,1.010745584,0.832473562
302,Annual,531819,109458,TRUE,-162.76514,-0.3704654,-0.10767649,0.141056719,0.23065493,0.7564097,67.11031916,4.056137392
303,Annual,548655,364605,FALSE,-800.98065,-5.533322,-0.28085208,-0.261828373,7.4064856,0.97230846,0.865841016,0.196178636
311,Annual,589670,149272,TRUE,-5312.2783,-12.670899,0.35985947,0.559082464,8.064578,12.686571,6.199434757,0.609669009
312,Multiannual,501015,342715,TRUE,-3761.531,-16.667223,0.25926623,0.290479429,2.6066306,18.578562,4.720954347,0.129584181
318,Annual,438130,175470,TRUE,-1250.4502,-15.947708,0.6259444,0.6194553,17.755213,3.519763,0.431461819,0.205092485
324,Annual,414670,227860,TRUE,-411.93423,-1.3379571,0.48824096,0.180978318,1.8847166,3.1027205,25.38327815,1.115433657
337,Annual,489058,182936,TRUE,-113.421906,-0.52922535,0.7501689,0.733242634,2.506415,0.91734785,2.749891418,0.388052214
339,Decadal,559006,160641,TRUE,-286.70752,-5.2963853,0.44320768,0.475294928,0.97029245,7.2716937,83.83581914,0.160672481
340,Multiannual,537245,389465,FALSE,-611.44025,-4.813397,0.05162572,0.044841455,0.59984916,6.7215743,12.35013058,0.207549273
346,Decadal,333635,548625,FALSE,-43.546177,-1.0708859,0.7771585,0.7654129,1.2804731,3.039679,6.205008849,0.278565773
364,Multiannual,461475,404015,TRUE,-433.16595,-1.2109368,0.70910203,0.610281999,3.1802702,0.7762946,3.43142616,0.359259442
381,Annual,512910,110750,TRUE,-18.950521,-0.20268548,0.72364086,0.758608897,0.09635877,0.25601715,32.84680767,6.76412652
