No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
2,Annual,420565,199295,51.692029,-1.703877,0.5810103,0.5279631,0.8787254,0.849075375,1.1255562,0.56142765,0.5944724,0.4617536,0.9183383,0.922915936,1.0986185,0.4772058,1.774808322,1.449792648,283.8722098,7.806790904,0.006789171,3.601816307,100541.3821,323.5834183,119.619524,72.23679352,0.437775344,3.100006104,11,80,9,1.570000052,19,72,9,1.480000019,0.1,0.06,3.630712238,120.7160504,251,100.3227158,Oolites,sandy loam,sandy loam
10,Multiannual,564245,171712,51.420622,0.360804,0.83321404,0.7928514,0.91946447,0.928383061,1.0003812,0.8091487,0.7248205,0.60133266,0.9043712,0.901942099,0.994617,0.6130098,1.55312158,1.441988728,284.1749941,8.545290384,0.006881943,3.595321925,100933.1047,322.1982433,118.697084,29.95890617,8.036122322,2.699998856,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,17.75109429,1628.325082,251,8.552083015,Chalk,sandy loam,sandy loam
16,Annual,559541,251790,52.141359,0.329989,0.8678335,0.8828732,0.9322398,0.937193582,1.0011692,0.90447104,0.74103343,0.7621732,0.9134816,0.908999233,1.0120252,0.7787957,1.659912373,1.520334182,283.6082373,8.084611253,0.006621065,4.570798286,100299.7665,320.283539,117.9390734,94.82769775,2.581180811,0.599998474,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,56.57861324,79.5966272,5001,0,Chalk,clay,clay
19,Annual,398635,198815,51.688083,-2.021137,0.7687474,0.77444404,0.8811612,0.888634809,0.9910098,0.8085011,0.81439793,0.82903814,0.9040172,0.888454332,1.004331,0.8585917,2.135761228,1.455074024,283.6789407,7.50607898,0.00675482,3.675112559,100112.9999,322.9832031,121.2067578,108.0771637,6.447398186,3.100006104,54,22,24,1.230000019,44,34,22,1.279999971,184,0.02,5.50101399,191.3660449,251,0,Oolites,clay,clay
20,Decadal,343971,449275,53.936531,-2.854924,0.8018431,0.7562213,0.9056086,0.87381244,0.9822314,0.7759419,0.5816497,0.8046576,0.85054415,0.872334298,0.9377341,1.1092951,2.910186199,1.423306154,283.3801806,6.350821513,0.006544172,4.30205114,101263.0669,323.2557912,113.9052436,5.284296989,1.035665751,2,40,20,40,0.275924206,27,47,26,0.282238722,33,0.01,4.736840749,107.7348115,1,0,Triassic Sandstone,silty clay loam,sandy clay loam
25,Annual,578560,259851,52.207941,0.611861,-1.6777706,0.045327604,0.056748394,-0.020798182,0.9948875,0.85286623,-0.9857646,0.14591968,0.1577575,0.146372392,0.9972188,0.8583261,1.635104048,1.536528911,283.5276495,8.134556528,0.006600667,4.727977888,100221.3077,319.5905124,119.5125218,106.7295685,1.41345036,8.599998474,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,66.71101306,62.53911903,5001,0,Lower Greensand,clay,clay
27,Annual,448933,465244,54.080785,-1.253548,0.38467014,0.58243537,0.67394936,0.659260495,1.1936327,0.82519144,-1.8099897,-0.096881986,0.69952124,0.711390796,1.6838328,1.8032923,1.804764514,1.450493758,283.169312,7.298685801,0.006473304,4.39065183,100971.3674,320.6883556,116.8230968,11.51841831,3.990374088,2.5,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,2.098813414,54.82825985,251,1.755312324,Triassic Sandstone,sandy loam,sandy clay loam
28,Multiannual,607216,229729,51.927485,1.012393,0.6715146,0.6625943,0.8339516,0.834421711,1.0114025,0.7065041,0.48075014,0.4689759,0.7860925,0.777072139,1.0307919,0.5149421,1.557228912,1.595576227,284.1248836,7.091237781,0.006799936,4.841553541,101108.8555,321.6139865,122.2307161,36.98066711,0.18478559,1.099998474,11,80,9,1.570000052,19,72,9,1.480000019,100,0.005,73.2195829,146.1015437,1001,403.6683655,Chalk,sandy loam,sandy loam
30,Annual,396769,197268,51.674166,-2.048116,0.8770233,0.8126274,0.9447365,0.948598455,1.0079094,0.82113755,0.85175097,0.81795067,0.963635,0.966458898,0.89203525,0.8580034,2.191566265,1.507869814,283.5724853,7.50607898,0.006726442,4.437943883,99892.3466,322.4941285,122.4190621,105.9273071,5.86828661,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,3.601596885,118.5838186,251,0,Oolites,clay,clay
39,Annual,565789,308887,52.652362,0.44945,0.75738657,0.8143924,0.871161,0.873452268,1.0016001,0.8664059,0.3950411,0.75568914,0.88698614,0.884560626,1.0116439,1.2162942,1.655038334,1.542443326,283.8114913,7.692880738,0.006690547,4.809887074,101140.5627,321.6680478,118.8323424,25.75464821,2.866908073,9.100000381,24,47,29,1.389999986,34,39,27,1.330000043,270,0.0006,36.36913814,86.16199832,1001,0,Oolites,loam,clay loam
