No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
2,Annual,420565,199295,51.692029,-1.703877,0.3296908,0.5121739,0.8524148,0.811561334,1.2414361,0.6026327,0.49214798,0.5153657,0.87581056,0.876765554,1.1794487,0.5672823,1.774808322,1.449792648,283.8722098,7.806790904,0.006789171,3.601816307,100541.3821,323.5834183,119.619524,72.23679352,0.437775344,3.100006104,11,80,9,1.570000052,19,72,9,1.480000019,0.1,0.06,3.630712238,120.7160504,251,100.3227158,Oolites,sandy loam,sandy loam
10,Multiannual,564245,171712,51.420622,0.360804,0.75328827,0.77480435,0.9062748,0.912940618,1.0160956,0.7958692,0.641284,0.5754128,0.8430259,0.81823553,1.0067923,0.605555,1.55312158,1.441988728,284.1749941,8.545290384,0.006881943,3.595321925,100933.1047,322.1982433,118.697084,29.95890617,8.036122322,2.699998856,9,77,14,1.600000024,17,67,16,1.480000019,550,0.015,17.75109429,1628.325082,251,8.552083015,Chalk,sandy loam,sandy loam
16,Annual,559541,251790,52.141359,0.329989,0.81051993,0.83311266,0.90821636,0.90022693,0.99404925,0.8607463,0.7314142,0.73735964,0.87693834,0.883883981,1.0070342,0.7680818,1.659912373,1.520334182,283.6082373,8.084611253,0.006621065,4.570798286,100299.7665,320.283539,117.9390734,94.82769775,2.581180811,0.599998474,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,56.57861324,79.5966272,5001,0,Chalk,clay,clay
19,Annual,398635,198815,51.688083,-2.021137,0.7422248,0.780867,0.88367397,0.893760079,0.9661597,0.8174015,0.82035965,0.83290404,0.9100212,0.901800299,0.9888134,0.8596449,2.135761228,1.455074024,283.6789407,7.50607898,0.00675482,3.675112559,100112.9999,322.9832031,121.2067578,108.0771637,6.447398186,3.100006104,54,22,24,1.230000019,44,34,22,1.279999971,184,0.02,5.50101399,191.3660449,251,0,Oolites,clay,clay
20,Decadal,343971,449275,53.936531,-2.854924,0.680561,0.64992344,0.8605119,0.842671147,0.9189228,0.68931943,0.40410227,0.74886435,0.79547596,0.806012195,0.893789,0.9002131,2.910186199,1.423306154,283.3801806,6.350821513,0.006544172,4.30205114,101263.0669,323.2557912,113.9052436,5.284296989,1.035665751,2,40,20,40,0.275924206,27,47,26,0.282238722,33,0.01,4.736840749,107.7348115,1,0,Triassic Sandstone,silty clay loam,sandy clay loam
25,Annual,578560,259851,52.207941,0.611861,-6.048946,-0.18665707,-0.07304091,-0.035707913,0.9905748,1.506613,-7.6225834,-0.049895525,0.18669349,0.09737616,0.990974,1.6638867,1.635104048,1.536528911,283.5276495,8.134556528,0.006600667,4.727977888,100221.3077,319.5905124,119.5125218,106.7295685,1.41345036,8.599998474,49,19,32,1.24000001,51,18,31,1.230000019,550,0.015,66.71101306,62.53911903,5001,0,Lower Greensand,clay,clay
27,Annual,448933,465244,54.080785,-1.253548,-0.30910218,0.22598588,0.36393428,0.35014525,1.4123329,0.8434657,-4.4688835,-0.5710015,0.70331275,0.707303173,2.2129126,1.9533818,1.804764514,1.450493758,283.169312,7.298685801,0.006473304,4.39065183,100971.3674,320.6883556,116.8230968,11.51841831,3.990374088,2.5,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,2.098813414,54.82825985,251,1.755312324,Triassic Sandstone,sandy loam,sandy clay loam
28,Multiannual,607216,229729,51.927485,1.012393,0.65455115,0.7948064,0.8295915,0.806677311,0.9774199,0.88795024,0.5828345,0.74494207,0.8059342,0.832817675,1.0312794,0.8374758,1.557228912,1.595576227,284.1248836,7.091237781,0.006799936,4.841553541,101108.8555,321.6139865,122.2307161,36.98066711,0.18478559,1.099998474,11,80,9,1.570000052,19,72,9,1.480000019,100,0.005,73.2195829,146.1015437,1001,403.6683655,Chalk,sandy loam,sandy loam
30,Annual,396769,197268,51.674166,-2.048116,0.88122094,0.8437419,0.9438715,0.945886895,0.9767829,0.85603106,0.80732524,0.817956,0.96710145,0.96952668,0.8520507,0.8991604,2.191566265,1.507869814,283.5724853,7.50607898,0.006726442,4.437943883,99892.3466,322.4941285,122.4190621,105.9273071,5.86828661,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,3.601596885,118.5838186,251,0,Oolites,clay,clay
39,Annual,565789,308887,52.652362,0.44945,0.534487,0.7686881,0.7697347,0.758059185,1.0049356,0.97858566,-0.57560146,0.5418142,0.8139773,0.816093336,1.0204419,1.418233,1.655038334,1.542443326,283.8114913,7.692880738,0.006690547,4.809887074,101140.5627,321.6680478,118.8323424,25.75464821,2.866908073,9.100000381,24,47,29,1.389999986,34,39,27,1.330000043,270,0.0006,36.36913814,86.16199832,1001,0,Oolites,loam,clay loam
