No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
2,Annual,420565,199295,51.692029,-1.703877,0.80090415,0.8355119,0.8960498,0.868432847,1.01614,0.87355036,0.84490275,0.75349665,0.93669385,0.938939063,1.0197626,0.76258755
10,Multiannual,564245,171712,51.420622,0.360804,0.8527036,0.85561347,0.92491645,0.931625411,0.998571,0.8766803,0.72419775,0.64227086,0.8976554,0.897101146,0.990808,0.6573473
16,Annual,559541,251790,52.141359,0.329989,0.8894457,0.8596747,0.9484755,0.949338571,0.99660796,0.86952096,0.75516856,0.762575,0.9243569,0.907990781,1.0121654,0.77527684
19,Annual,398635,198815,51.688083,-2.021137,0.793771,0.80537647,0.89268905,0.882311662,1.0017601,0.83764416,0.7693226,0.83751285,0.89692473,0.867649139,1.0288185,0.87774247
20,Decadal,343971,449275,53.936531,-2.854924,0.79673266,0.78263676,0.90026987,0.866730284,0.96530324,0.81000984,0.66592807,0.79406685,0.87206125,0.892132948,0.9750887,1.1594396
25,Annual,578560,259851,52.207941,0.611861,-0.12437475,0.15805995,0.25839424,0.20662363,0.99864554,0.60140276,-0.31759143,-0.061370373,0.0490392,0.097992464,1.001157,0.52864426
27,Annual,448933,465244,54.080785,-1.253548,0.48940355,0.5329989,0.702408,0.641050334,0.9907702,0.6402196,-0.56394446,0.31976837,0.66511595,0.648200942,1.5150921,1.292002
28,Multiannual,607216,229729,51.927485,1.012393,0.72742414,0.76833624,0.8559171,0.850080035,1.0079905,0.81877124,0.43716353,0.5114664,0.7716156,0.79878413,1.0418566,0.57017124
30,Annual,396769,197268,51.674166,-2.048116,0.8998925,0.89114857,0.9498131,0.951480012,1.0056115,0.90357196,0.8934066,0.896511,0.96370894,0.965571232,0.92128056,0.9434658
39,Annual,565789,308887,52.652362,0.44945,0.75506294,0.7885593,0.8700806,0.872241386,0.99897844,0.83318824,0.66807055,0.8208473,0.88407993,0.884611683,1.0048825,1.1365145
40,Annual,425845,177785,51.498413,-1.62907,0.9682122,0.95651174,0.9843987,0.986146224,1.0074993,0.9601054,0.91678625,0.907416,0.9617609,0.965466836,0.97099346,0.9208283
41,Annual,413670,155000,51.293964,-1.805328,0.7968165,0.730113,0.906976,0.915938193,1.0065525,0.7467375,0.76279765,0.636752,0.9128385,0.922648785,0.9995292,0.6473657
43,Annual,448976,432699,53.7883,-1.258096,0.6988946,0.7682558,0.8368523,0.88830592,0.999439,0.8354196,0.6861955,0.6818373,0.8388597,0.865977404,1.001152,0.7256673
