No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
2,Annual,420565,199295,51.692029,-1.703877,0.74290335,0.8570659,0.86604214,0.823087591,1.0026389,0.95021874,0.8178632,0.8451326,0.90541637,0.89809412,1.0145226,0.8782365
10,Multiannual,564245,171712,51.420622,0.360804,0.81003916,0.90482426,0.9151859,0.918165004,1.0109125,0.9582166,0.76955837,0.7301784,0.88718486,0.894280432,1.0003675,0.7548959
16,Annual,559541,251790,52.141359,0.329989,0.87037396,0.86043674,0.93513083,0.926813176,0.99861896,0.8764368,0.6128787,0.75876385,0.84961313,0.879177873,1.0143734,0.81192595
19,Annual,398635,198815,51.688083,-2.021137,0.7458994,0.74824,0.8700788,0.866622881,0.9886712,0.78465134,0.75390947,0.7967404,0.8810756,0.850553398,1.0220759,0.83664787
20,Decadal,343971,449275,53.936531,-2.854924,0.70906186,0.6972698,0.8687775,0.83957152,0.92134404,0.73877454,0.49780965,0.64829034,0.893693,0.926160026,0.9232524,1.3263611
25,Annual,578560,259851,52.207941,0.611861,-1.407052,0.1716063,0.17607081,0.145374622,1.0039033,1.0858046,-2.1370633,0.027709484,0.028742895,0.007498375,1.0040565,1.0446385
27,Annual,448933,465244,54.080785,-1.253548,0.3430342,0.5719923,0.63909996,0.549268387,1.1537509,0.82882005,-1.0862556,0.15395826,0.6277132,0.606411001,1.5160265,1.5576136
28,Multiannual,607216,229729,51.927485,1.012393,0.5823381,0.63148403,0.81083775,0.799529359,0.9683755,0.68532425,0.2536325,0.34605157,0.5130727,0.50214406,1.0102521,0.5636007
30,Annual,396769,197268,51.674166,-2.048116,0.85482097,0.86420333,0.9260386,0.927443491,1.0185708,0.88763666,0.7924526,0.8573066,0.9354017,0.938626313,0.87940776,0.9594301
39,Annual,565789,308887,52.652362,0.44945,0.56891674,0.6929903,0.7806924,0.77487763,1.0082855,0.7853156,0.01392293,0.7958817,0.79838085,0.817931384,1.0168475,0.97298425
