No,DECIPHeR-GW_No,elev,label,easting,northing,NSE_DGW,KGE_DGW,Pearson_r_DGW,Spearman_r_DGW,Mean_ratio_DGW,STD_ratio_DGW,NSE_LSTM_10,KGE_LSTM_10,Pearson_r_LSTM_10,Spearman_r_LSTM_10,Mean_ratio_LSTM_10,STD_ratio_LSTM_10,Pearson_diff,Pearson_calss,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
132,2811,130.0462952,Toad Hall,556510,131382,-778.3242895,-24.74665139,0.183261693,0.186933447,0.545108656,26.72967296,-15.034441,0.1456539,0.43244928,0.431308889,1.1972046,1.6073775,-0.249187587,Others,56,2.451204822,1.352334044,283.8105332,8.545290384,0.006871268,3.4698129,100083.0196,320.2721215,116.1873677,130.0462952,5.002307892,42.09999847,19,37,44,1.409999967,31,31,38,1.330000043,50,0.00014,1.470704813,246.9154949,251,0,Corallian Limestone,loam,clay loam
137,1737,52.74417877,Lullingstone,553496,164800,-285.0466693,0.181864888,0.911122186,0.899506642,0.582076029,1.697700042,-1624.8922,-4.287958,0.3827373,0.319867067,1.9872031,6.15821,0.528384886,DGW outperform,1825,1.792880614,1.389624776,284.0798996,8.545290384,0.006861111,3.537953544,100729.3425,321.8322826,114.9573424,52.74417877,2.858519554,16.5,21,44,35,1.409999967,25,40,35,1.370000005,550,0.015,16.51576374,413.8281749,1,3490.212891,Lower Greensand,loam,loam
177,114,98.39550781,Asthall Barrow Farm,428955,210655,-6.681606405,-0.028162233,0.758715754,0.763281589,0.023601158,1.213412256,-7.263875,-0.0650152,0.9499252,0.96538201,2.0471807,1.1875241,-0.191209446,Both Perform Well,57,1.874479737,1.41466859,283.6218576,7.806790904,0.006701196,3.584087332,100098.3191,322.4127155,116.8608451,98.39550781,1.502653718,3.800003052,51,17,32,1.220000029,52,19,29,1.230000019,184,0.02,1.782402328,312.0678377,51,0,Oolites,clay,clay
238,2164,80.21742249,Pickworth Plain,497435,312335,-304.5415873,-1.421668282,0.520933507,0.540207213,3.340749914,0.60520587,-27.014666,0.020517468,0.8493767,0.942469281,0.29728267,0.33450264,-0.328443193,LSTM outperform,59,1.743756847,1.509396009,283.4353129,8.170701117,0.006566161,4.437164208,100448.0259,321.2236694,118.8052939,80.21742249,1.558400154,1.099998474,49,19,32,1.24000001,51,18,31,1.230000019,130,0.0005,5.04442609,74.53048326,101,0,Oolites,clay,clay
264,2533,175.2384186,Soundess House,471045,187253,-49.92354851,0.555785235,0.563632932,0.579514998,1.0789458,0.973959632,-174.4532,0.05885738,0.25619256,0.19299313,0.85333353,1.5576653,0.307440372,Others,39,2.049233299,1.470340541,283.2442582,8.154764635,0.006580623,4.249564207,99274.83763,319.5642603,119.3912903,175.2384186,2.03237772,59.50000763,24,52,24,1.409999967,36,43,21,1.320000052,550,0.015,7.647990614,94.25878722,251,0,Chalk,sandy clay loam,clay loam
311,1252,108.6147919,Hazelwood Cottage,589670,149272,-9502.696641,-10.64724956,0.642881975,0.668592552,10.56209584,7.640573181,-6598.356,-7.040244,0.5294805,0.637813472,8.987611,1.7888217,0.113401475,Others,56,1.828313254,1.509166751,283.8821058,7.604655088,0.006886554,4.396422273,100109.8072,320.5258706,124.4884452,108.6147919,2.566547394,42,22,42,36,1.399999976,25,41,34,1.379999995,270,0.0006,12.79083825,101.0276796,1001,9.910313606,Corallian Limestone,loam,loam
324,1000,187.9916992,Fox Farm,414670,227860,-176.1956361,-0.386751054,0.213302476,-0.068786672,0.421839984,1.984843382,-3.7699208,-0.17045653,0.46360135,0.311711895,0.9461224,2.0389156,-0.250298874,Others,57,2.135213585,1.434528754,283.1003729,7.806790904,0.006550985,4.381621449,99154.66361,320.3572311,116.1421263,187.9916992,4.022895813,0,49,19,32,1.24000001,51,18,31,1.230000019,184,0.02,1.452256963,73.43486748,51,0,Oolites,clay,clay
423,3162,157.72229,Woolbeding Pound Common,487395,125045,-49227.75295,-25.84404172,-0.268223616,-0.270395623,2.532184737,27.77025578,-1860.4006,-1.3413293,0.36080095,0.356414097,0.70039064,3.2323818,-0.629024566,Others,53,2.565388828,1.533344336,283.4428729,8.449890581,0.006713387,4.921697022,99452.1603,319.1166541,124.9901054,157.72229,3.684126377,60.29999542,4,87,9,1.730000019,4,88,8,1.74000001,270,0.0006,14.27648075,89.74661279,1001,0,Lower Greensand,sand,sand
534,3005,69.5762558,Westerley,505649,194842,-168.3236997,0.561806349,0.629628328,0.71990563,0.85104485,1.1806955,-17763.533,-2.5772936,0.5972452,0.614246185,2.52923,4.208797,0.032383128,Others,54,1.787842281,1.478305498,284.0397052,7.941128241,0.006792634,3.501646172,100879.0901,322.7833433,121.2268798,69.5762558,2.572648048,22.80000305,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,30.69705609,1084.283055,101,0,Chalk,loam,loam
547,373,131.804718,Brightwalton Holt,443980,177743,-6.409636404,0.130154322,0.668536691,0.658547057,0.51489522,0.358566502,-14.08723,0.058047414,0.84833187,0.849264249,0.2868882,0.4035582,-0.179795179,Both Perform Well,1659,1.933187295,1.503840154,283.4639305,8.427272862,0.006669004,4.285347325,99709.32907,320.9354997,122.4316511,131.804718,1.996718884,0,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,28.9140785,53.09990584,51,0,Chalk,silt loam,loam
574,3073,126.3532867,Wildhern,435355,151255,-30.72578389,0.037775188,0.655540653,0.647761692,0.435030183,0.301406089,-3.6238356,0.35938317,0.7882175,0.759697678,0.79418814,0.43151128,-0.132676847,Both Perform Well,60,2.131599123,1.500137326,283.6008673,8.427272862,0.006737569,4.286395782,99864.42347,321.2722478,123.0680143,126.3532867,1.9591856,12.00000763,19,37,44,1.409999967,0,0,0,0,550,0.015,34.44516392,304.5084898,1,0,Chalk,loam,
586,2439,180.5866852,Shalden Manor,469505,141905,-160.1353879,-0.33172368,0.576489671,0.47402734,1.164457579,2.251830925,-108.23778,0.7011187,0.7435869,0.728503089,1.1365899,0.9298189,-0.167097229,Others,54,2.355093098,1.453919913,283.4285066,8.427272862,0.006684387,4.204864701,99467.84865,319.6573402,120.3525675,180.5866852,1.745035648,54.8999939,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,31.55244568,305.6661161,501,0,Chalk,sandy clay loam,clay loam
603,1260,105.1357346,Heath End,458205,162865,-876.5877005,-0.940300233,-0.029769416,0.024101313,0.612277819,2.598127484,-1797.4407,-0.66065526,0.21544161,0.270615758,0.44330147,2.3536396,-0.245211026,Others,1670,1.927327488,1.494517869,283.7886039,8.427272862,0.006769544,4.242946927,100285.7436,321.9508089,120.6785893,105.1357346,0.778166413,13.5,6,75,19,1.629999995,7,79,14,1.629999995,100,0.005,21.01959152,233.8611061,51,0,Chalk,sandy loam,loamy sand
